"periodo","IPC.San.Luis.B2003","IPCNu","IPC.GBA.B2008.abr","IPC.GBA.B1999","IPC.San.Luis","IPC.INDEC","anio","mes","coeficiente.confusion","IPC.San.Luis.acumulado.anual","IPC.INDEC.acumulado.anual","coeficiente.confusion.acumulado.anual"
2005-10-01,116.16,,,166.07,91.2346842601319,88.9644827770933,"2005","10",0.79428227629183,,,
2005-11-01,117.45,,,168.08,92.2478793590952,90.041249263406,"2005","11",0.778423001634051,,,
2005-12-01,117.92,,,169.95,92.617027961043,91.0430170889805,"2005","12",0.824269970401969,,,
2006-01-01,119.32,,,172.12,93.7166195413132,92.2054963304227,"2006","01",0.806129642764989,1.18724559023067,1.27684613121508,0.929826673086177
2006-02-01,119.55,,,172.8,93.8972667295005,92.5697755397225,"2006","02",0.821339019181073,1.38229308005427,1.67696381288616,0.824283189316564
2006-03-01,120.53,,,174.88,94.6669808356896,93.6840413564044,"2006","03",0.844372084310282,2.21336499321573,2.90085319211532,0.763004828797191
2006-04-01,121.21,,,176.58,95.201068174678,94.5947393796539,"2006","04",0.887826168318003,2.79002713704205,3.90114739629304,0.715181164314169
2006-05-01,121.62,,,177.41,95.5230914231857,95.0393742968876,"2006","05",0.902488686861696,3.13772048846674,4.38952633127391,0.714819835140645
2006-06-01,122.25,,,178.27,96.0179076343073,95.500080355708,"2006","06",0.884925216552221,3.67198100407056,4.89555751691677,0.750063908223303
2006-07-01,122.62,,,179.37,96.3085139805215,96.0893555472224,"2006","07",0.943958486652122,3.98575305291722,5.54280670785528,0.719085702062928
2006-08-01,122.86,,,180.38,96.4970153942821,96.6304173139765,"2006","08",1.03959004189087,4.18928086838535,6.13709914680788,0.682615804009675
2006-09-01,123.38,,,182,96.9054351240968,97.4982589596614,"2006","09",1.23696450831876,4.63025780189956,7.09032068255371,0.653039264259609
2006-10-01,123.99,,,183.56,97.3845428840716,98.3339583221728,"2006","10",1.56986295765385,5.14755766621437,8.00823771697559,0.642782825402742
2006-11-01,125.28,,,184.86,98.3977379830349,99.030374457599,"2006","11",1.65245442379495,6.24151967435552,8.77316857899386,0.711432775759031
2006-12-01,127.32,,,186.67,100,100,"2006","12",,7.97150610583446,9.83818770226539,0.810261640362778
2007-01-01,128.74,,,188.81,101.115300031417,101.146408099855,"2007","01",0.972864751703695,1.11530003141691,1.14640809985538,0.972864751703695
2007-02-01,129.59,,,189.38,101.782909205152,101.451759790004,"2007","02",1.22810207131288,1.78290920515238,1.45175979000376,1.22810207131288
2007-03-01,130.94,,,190.83,102.843229657556,102.228531633364,"2007","03",1.27583096196138,2.84322965755577,2.2285316333637,1.27583096196138
2007-04-01,133.91,,,192.25,105.175934652843,102.989232335137,"2007","04",1.73152638287857,5.17593465284322,2.98923233513688,1.73152638287857
2007-05-01,136.7,,,193.05,107.36726358781,103.417796110784,"2007","05",2.15555970836448,7.36726358781024,3.41779611078374,2.15555970836448
2007-06-01,140.33,,,193.9,110.218347470939,103.873145122409,"2007","06",2.6382557709547,10.2183474709394,3.87314512240853,2.6382557709547
2007-07-01,143.91,,,194.87,113.030160226202,104.39277870038,"2007","07",2.96626830417692,13.0301602262017,4.39277870038035,2.96626830417692
2007-08-01,148.69,,,196.01,116.784480050267,105.003482080677,"2007","08",3.35455984045327,16.784480050267,5.00348208067713,3.35455984045327
2007-09-01,151.67,,,197.58,119.125039271128,105.844538490384,"2007","09",3.27229246630745,19.1250392711278,5.84453849038411,3.27229246630745
2007-10-01,153.84,,,198.93,120.829406220547,106.567739861788,"2007","10",3.17147247894734,20.8294062205467,6.5677398617882,3.17147247894734
2007-11-01,153.22,,,200.63,120.342444234998,107.478437885038,"2007","11",2.72014617861544,20.3424442349984,7.47843788503776,2.72014617861544
2007-12-01,154.72,,,202.49,121.520578071002,108.474848663417,"2007","12",2.53934659198102,21.5205780710022,8.47484866341675,2.53934659198102
2008-01-01,157.85,,,204.37,123.978950675463,109.481973536187,"2008","01",2.52889871332698,2.02300930713548,0.928440910662246,2.17893167341419
2008-02-01,161.38,,,205.33,126.751492302859,109.996250066963,"2008","02",2.67615276965417,4.30455015511893,1.40253839695785,3.06911394686636
2008-03-01,167.94,,99.1763,207.65,131.903864278982,111.239085016339,"2008","03",2.83865316728197,8.54446742502586,2.54827398883894,3.35304110250677
2008-04-01,172.96,,100,209.37,135.846685516808,112.16049713398,"2008","04",2.94779770282932,11.7890382626681,3.39769865178525,3.46971272937162
2008-05-01,173.39,,100.56,,136.184417216462,112.78859591793,"2008","05",2.82942845709361,12.0669596690796,3.97672576423527,3.03439572766218
2008-06-01,177.59,,101.2,,139.483191957273,113.506423099588,"2008","06",2.92329002772605,14.7815408479835,4.63847103560668,3.18672699139753
2008-07-01,180.08,,101.57,,141.438894125039,113.921416938983,"2008","07",2.97662905339762,16.3908996897622,5.02104252061828,3.26444152234422
2008-08-01,181.55,,102.05,,142.593465284323,114.459787325226,"2008","08",2.9456494985936,17.3410031023785,5.51735147414685,3.14299409483604
2008-09-01,183.51,,102.57,,144.132893496701,115.043021910323,"2008","09",2.93377844955579,18.6078076525336,6.05501950713614,3.07312100821532
2008-10-01,184.58,,103.01,,144.973295633051,115.536528097713,"2008","10",2.89468118940112,19.299379524302,6.509969381204,2.96458837118718
2008-11-01,185.76,,103.36,,145.900094250707,115.929089837681,"2008","11",2.88152648509312,20.0620475698035,6.87186132648523,2.91944883877113
2008-12-01,186.59,,103.71,,146.551994973296,116.32165157765,"2008","12",2.85216203469508,20.5985005170631,7.2337532717665,2.84755364790495
2009-01-01,188.75,,104.26,,148.248507697141,116.938534311887,"2009","01",2.84844643631773,1.15761830751914,0.530324944556938,2.18284717586928
